,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4147,000368,2017-02-23,000368,FMT_PA_0940,0106-01-04,0106-01-04,True,2017,2,23,4,106,1,4,1,106,1,4,1
6528,000898,2017-03-03,000898,FMT_PA_0940,2016-05-01,2017-03-03,True,2017,3,3,5,2016,5,1,7,2017,3,3,5
6565,000898,2017-03-03,000898,FMT_PA_0940,2016-08-01,2017-03-03,True,2017,3,3,5,2016,8,1,1,2017,3,3,5
7795,002064,2017-03-01,002064,FMT_PA_0940,2016-01-01,2016-12-31,True,2017,3,1,3,2016,1,1,5,2016,12,31,6
8510,000898,2017-03-10,000898,FMT_PA_0940,0106-01-04,0106-01-25,True,2017,3,10,5,106,1,4,1,106,1,25,1
9210,002064,2017-03-10,002064,FMT_PA_0940,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
9470,000898,2017-03-10,000898,FMT_PA_0940,0106-01-11,0106-01-31,True,2017,3,10,5,106,1,11,1,106,1,31,7
11786,user19,2017-03-15,user19,FMT_PA_0940,2000-05-01,2027-03-31,True,2017,3,15,3,2000,5,1,1,2027,3,31,3
13436,000898,2017-03-18,000898,FMT_PA_0940,2017-01-01,2017-03-31,True,2017,3,18,6,2017,1,1,7,2017,3,31,5
15183,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15187,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15191,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15193,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16075,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16110,mPOS,2017-03-24,mPOS,FMT_PA_0940,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
18483,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
18499,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
18515,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
18798,user18,2017-03-27,user18,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18883,user18,2017-03-27,user18,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18960,user18,2017-03-27,user18,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19037,user18,2017-03-27,user18,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19259,user15,2017-03-27,user15,FMT_PA_0940,2014-03-01,2017-12-31,True,2017,3,27,1,2014,3,1,6,2017,12,31,7
19337,user10,2017-03-27,user10,FMT_PA_0940,2016-03-26,2016-03-28,True,2017,3,27,1,2016,3,26,6,2016,3,28,1
19414,user10,2017-03-27,user10,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19809,mPOS,2017-03-28,mPOS,FMT_PA_0940,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
19952,user18,2017-03-27,user18,FMT_PA_0940,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
20569,yusiang,2017-03-27,yusiang,FMT_PA_0940,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
