,username,query_date,report_name,doc,start_date,end_date,is_period
174,shiang,2017-02-08,shiang,ODS_POS_1330,2017-01-31,2017-01-31,True
175,shiang,2017-02-08,shiang,ODS_POS_1160,,9999-12-31,True
176,shiang,2017-02-08,shiang,ODS_UNB_0260,2016-01-31,2016-01-31,True
177,shiang,2017-02-08,shiang,ODS_UNB_0260,2017-01-31,2017-01-31,True
1512,shiang,2017-02-15,shiang,ODS_POS_0430,,9999-12-31,True
1697,shiang,2017-02-15,shiang,ODS_POS_1350_E,,9999-12-31,True
1923,shiang,2017-02-15,shiang,ODS_POS_1350_E,,9999-12-31,True
2071,shiang,2017-02-17,shiang,ODS_POS_0780,2017-01-02,2017-01-02,True
2194,shiang,2017-02-16,shiang,ODS_POS_0780,2017-01-31,2017-01-31,True
2195,shiang,2017-02-16,shiang,ODS_POS_0780,2016-10-28,2016-10-28,True
2199,shiang,2017-02-16,shiang,ODS_POS_0781,,9999-12-31,True
2479,shiang,2017-02-20,shiang,ODS_POS_0430,,9999-12-31,True
2623,shiang,2017-02-20,shiang,ODS_POS_0430,,9999-12-31,True
2755,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True
2764,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True
2769,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True
2879,shiang,2017-02-20,shiang,ODS_POS_1130,2016-11-30,2016-11-30,True
2881,shiang,2017-02-20,shiang,ODS_POS_1250,2017-01-31,2017-01-31,True
2882,shiang,2017-02-20,shiang,ODS_POS_1260,2017-01-31,2017-01-31,True
2883,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True
2886,shiang,2017-02-20,shiang,ODS_POS_1340,2016-09-30,2016-09-30,True
3014,shiang,2017-02-17,shiang,ODS_POS_1250,2016-01-02,2016-01-02,True
3015,shiang,2017-02-17,shiang,ODS_POS_1250,2017-01-02,2017-01-02,True
3704,shiang,2017-02-20,shiang,ODS_UNB_0690,,9999-12-31,True
3705,shiang,2017-02-20,shiang,ODS_POS_1130,2016-12-30,2016-12-30,True
3706,shiang,2017-02-20,shiang,ODS_POS_1130,2016-11-30,2016-11-30,True
3707,shiang,2017-02-20,shiang,ODS_POS_1130,2016-12-31,2016-12-31,True
3708,shiang,2017-02-20,shiang,ODS_UNB_0481,2016-12-30,2016-12-30,True
3709,shiang,2017-02-20,shiang,ODS_UNB_0510,,9999-12-31,True
3798,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True
3810,shiang,2017-02-20,shiang,ODS_POS_1260,2016-10-31,2016-10-31,True
3811,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True
3845,shiang,2017-02-20,shiang,ODS_POS_0670,,9999-12-31,True
3847,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-02,2017-01-02,True
3849,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-02,2017-01-02,True
3850,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
3851,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
3856,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
3867,shiang,2017-02-20,shiang,ODS_POS_1320,,9999-12-31,True
3868,shiang,2017-02-20,shiang,ODS_POS_1320,,9999-12-31,True
3892,shiang,2017-02-23,shiang,ODS_POS_0770,2017-01-03,2017-01-03,True
3972,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
3973,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
3974,shiang,2017-02-21,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
4001,shiang,2017-02-22,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
4009,shiang,2017-02-22,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
4070,shiang,2017-02-22,shiang,ODS_POS_1300,2017-01-02,2017-01-02,True
4071,shiang,2017-02-22,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
4072,shiang,2017-02-22,shiang,ODS_POS_1300,2017-01-03,2017-01-03,True
4098,shiang,2017-02-23,shiang,ODS_POS_1320,,9999-12-31,True
4166,shiang,2017-03-07,shiang,ODS_POS_0430,,9999-12-31,True
4176,shiang,2017-03-07,shiang,ODS_POS_1410,2017-01-13,2017-01-13,True
4208,shiang,2017-03-07,shiang,ODS_POS_0430,,9999-12-31,True
4211,shiang,2017-03-07,shiang,ODS_POS_0430,,9999-12-31,True
4234,shiang,2017-02-24,shiang,ODS_POS_1010,2017-01-03,2017-01-03,True
4486,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True
4487,shiang,2017-03-08,shiang,ODS_POS_1350_P,,9999-12-31,True
4488,shiang,2017-03-08,shiang,ODS_POS_1440,2017-01-13,2017-01-13,True
4707,shiang,2017-03-08,shiang,ODS_POS_0840,,9999-12-31,True
4708,shiang,2017-03-08,shiang,ODS_POS_1450,,9999-12-31,True
4709,shiang,2017-03-08,shiang,ODS_POS_1450,,9999-12-31,True
4783,shiang,2017-03-09,shiang,ODS_UNB_0230,,9999-12-31,True
4784,shiang,2017-03-09,shiang,ODS_UNB_0230,,9999-12-31,True
4998,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-13,2017-01-13,True
4999,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-13,2017-01-13,True
5000,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True
5002,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True
5003,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True
5011,shiang,2017-03-10,shiang,ODS_POS_1440,2017-01-13,2017-01-13,True
5029,shiang,2017-03-10,shiang,ODS_POS_1440,2017-01-26,2017-01-26,True
5391,shiang,2017-03-07,shiang,ODS_POS_1440,2017-01-13,2017-01-13,True
5402,shiang,2017-03-07,shiang,ODS_POS_0780,2017-01-10,2017-01-10,True
5412,shiang,2017-03-07,shiang,ODS_POS_0780,2017-01-13,2017-01-13,True
