,username,query_date,report_name,doc,start_date,end_date,is_period
1654,000443,2017-04-19,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
26407,000443,2017-04-11,000443,ODS_SC_6000_P,2017-03-31,2017-03-31,True
26408,000443,2017-04-11,000443,ODS_SC_6000_P,2128-03-31,2128-03-31,True
26436,000443,2017-04-11,000443,ODS_SC_6000_P,2017-03-31,2017-03-31,True
29736,000443,2017-04-17,000443,ODS_SC_6000_P,2017-01-20,2017-01-20,True
29737,000443,2017-04-17,000443,ODS_SC_6000_P,2017-01-20,2017-01-20,True
30549,000443,2017-04-19,000443,ODS_SC_6000_P,2017-05-31,2017-05-31,True
30961,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31070,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31192,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31193,jessie,2017-04-18,jessie,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31196,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
31218,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True
