,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
5654,user2,2017-02-15,user2,FMT_POS_1571,2023-10-20,2023-10-20,True,2017,2,15,3,2023,10,20,5,2023,10,20,5
7024,user2,2017-02-15,user2,FMT_POS_1571,2023-10-20,2023-10-20,True,2017,2,15,3,2023,10,20,5,2023,10,20,5
7529,user2,2017-03-02,user2,FMT_POS_1571,2017-01-01,2017-03-02,True,2017,3,2,4,2017,1,1,7,2017,3,2,4
11752,user19,2017-03-15,user19,FMT_POS_1571,2000-05-01,2027-03-31,True,2017,3,15,3,2000,5,1,1,2027,3,31,3
15365,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15515,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15530,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15538,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15542,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15556,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15562,mPOS,2017-03-24,mPOS,FMT_POS_1571,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
18764,user18,2017-03-27,user18,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18849,user18,2017-03-27,user18,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18926,user18,2017-03-27,user18,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19003,user18,2017-03-27,user18,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19303,user10,2017-03-27,user10,FMT_POS_1571,2016-03-26,2016-03-28,True,2017,3,27,1,2016,3,26,6,2016,3,28,1
19380,user10,2017-03-27,user10,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19462,user14,2017-03-27,user14,FMT_POS_1571,2017-01-01,2017-03-31,True,2017,3,27,1,2017,1,1,7,2017,3,31,5
19918,user18,2017-03-27,user18,FMT_POS_1571,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
20535,yusiang,2017-03-27,yusiang,FMT_POS_1571,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
25963,user2,2017-04-07,user2,FMT_POS_1571,2017-01-03,2017-03-31,True,2017,4,7,5,2017,1,3,2,2017,3,31,5
26282,user1,2017-04-11,user1,FMT_POS_1571,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
26369,user1,2017-04-11,user1,FMT_POS_1571,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
29021,user8,2017-04-13,user8,FMT_POS_1571,2017-04-07,2017-04-07,True,2017,4,13,4,2017,4,7,5,2017,4,7,5
29741,user8,2017-04-17,user8,FMT_POS_1571,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29742,user8,2017-04-17,user8,FMT_POS_1571,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
