,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6530,000898,2017-03-03,000898,FMT_PA_0951,2016-05-01,2017-03-03,True,2017,3,3,5,2016,5,1,7,2017,3,3,5
6567,000898,2017-03-03,000898,FMT_PA_0951,2016-08-01,2017-03-03,True,2017,3,3,5,2016,8,1,1,2017,3,3,5
7749,002064,2017-03-01,002064,FMT_PA_0951,2016-10-01,2016-11-01,True,2017,3,1,3,2016,10,1,6,2016,11,1,2
7797,002064,2017-03-01,002064,FMT_PA_0951,2016-01-01,2016-12-31,True,2017,3,1,3,2016,1,1,5,2016,12,31,6
9472,000898,2017-03-10,000898,FMT_PA_0951,0106-01-11,0106-01-31,True,2017,3,10,5,106,1,11,1,106,1,31,7
11788,user19,2017-03-15,user19,FMT_PA_0951,2000-05-01,2027-03-31,True,2017,3,15,3,2000,5,1,1,2027,3,31,3
12460,002064,2017-03-17,002064,FMT_PA_0951,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
13438,000898,2017-03-18,000898,FMT_PA_0951,2017-01-01,2017-03-31,True,2017,3,18,6,2017,1,1,7,2017,3,31,5
15194,mPOS,2017-03-24,mPOS,FMT_PA_0951,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15202,mPOS,2017-03-24,mPOS,FMT_PA_0951,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15204,mPOS,2017-03-24,mPOS,FMT_PA_0951,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16077,mPOS,2017-03-24,mPOS,FMT_PA_0951,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
18800,user18,2017-03-27,user18,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18885,user18,2017-03-27,user18,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
18962,user18,2017-03-27,user18,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19039,user18,2017-03-27,user18,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19261,user15,2017-03-27,user15,FMT_PA_0951,2014-03-01,2017-12-31,True,2017,3,27,1,2014,3,1,6,2017,12,31,7
19339,user10,2017-03-27,user10,FMT_PA_0951,2016-03-26,2016-03-28,True,2017,3,27,1,2016,3,26,6,2016,3,28,1
19416,user10,2017-03-27,user10,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
19954,user18,2017-03-27,user18,FMT_PA_0951,2017-03-01,2017-03-31,True,2017,3,27,1,2017,3,1,3,2017,3,31,5
20571,yusiang,2017-03-27,yusiang,FMT_PA_0951,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
