,username,query_date,report_name,doc,start_date,end_date,is_period
12541,000759,2017-03-17,000759,LS_INV_0030,2017-01-10,2017-01-10,True
13708,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True
13840,000768,2017-03-20,000768,LS_INV_0030,2017-02-07,2017-02-07,True
13914,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True
13935,000768,2017-03-20,000768,LS_INV_0030,2017-02-07,2017-02-07,True
14136,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True
14288,000768,2017-03-20,000768,LS_INV_0030,2017-02-27,2017-02-27,True
14868,user16,2017-03-22,user16,LS_INV_0030,2017-02-27,2017-02-27,True
14870,000768,2017-03-22,000768,LS_INV_0030,2017-02-27,2017-02-27,True
14871,user16,2017-03-22,user16,LS_INV_0030,2017-02-27,2017-02-27,True
14872,000768,2017-03-22,000768,LS_INV_0030,2017-02-02,2017-02-02,True
14910,000759,2017-03-21,000759,LS_INV_0030,2016-02-07,2016-02-07,True
14933,000759,2017-03-21,000759,LS_INV_0030,2017-02-07,2017-02-07,True
15262,user18,2017-03-21,user18,LS_INV_0030,2017-02-07,2017-02-07,True
15780,000768,2017-03-21,000768,LS_INV_0030,2017-02-27,2017-02-27,True
15831,000768,2017-03-21,000768,LS_INV_0030,2017-02-02,2017-02-02,True
15836,000759,2017-03-21,000759,LS_INV_0030,2016-02-07,2016-02-07,True
15841,000768,2017-03-21,000768,LS_INV_0030,2017-02-07,2017-02-07,True
15871,000768,2017-03-22,000768,LS_INV_0030,2017-02-27,2017-02-27,True
15872,user16,2017-03-22,user16,LS_INV_0030,2017-02-28,2017-02-28,True
16962,user10,2017-03-22,user10,LS_INV_0030,2017-02-27,2017-02-27,True
16964,000768,2017-03-22,000768,LS_INV_0030,2017-01-10,2017-01-10,True
17247,user16,2017-03-22,user16,LS_INV_0030,2017-02-27,2017-02-27,True
19150,000768,2017-03-29,000768,LS_INV_0030,2017-02-27,2017-02-27,True
20069,000768,2017-03-28,000768,LS_INV_0030,2017-03-01,2017-03-01,True
20070,000768,2017-03-28,000768,LS_INV_0030,2017-03-01,2017-03-01,True
20083,000598,2017-03-30,000598,LS_INV_0030,2017-03-01,2017-03-01,True
21559,000768,2017-04-05,000768,LS_INV_0030,2017-04-01,2017-04-01,True
22558,000768,2017-04-05,000768,LS_INV_0030,2017-01-03,2017-01-03,True
23167,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True
23168,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True
23254,000759,2017-04-07,000759,LS_INV_0030,2017-03-31,2017-03-31,True
23816,000768,2017-04-07,000768,LS_INV_0030,2017-03-14,2017-03-14,True
23817,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True
23820,000768,2017-04-07,000768,LS_INV_0030,2017-03-22,2017-03-22,True
24156,000768,2017-04-06,000768,LS_INV_0030,2017-03-31,2017-03-31,True
25103,000759,2017-04-07,000759,LS_INV_0030,2017-03-31,2017-03-31,True
25702,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True
25703,000768,2017-04-07,000768,LS_INV_0030,2017-03-21,2017-03-21,True
25704,000768,2017-04-07,000768,LS_INV_0030,2017-03-27,2017-03-27,True
25705,000768,2017-04-07,000768,LS_INV_0030,2017-03-28,2017-03-28,True
25706,000768,2017-04-07,000768,LS_INV_0030,2017-03-01,2017-03-01,True
27412,000759,2017-04-10,000759,LS_INV_0030,2017-03-31,2017-03-31,True
27514,000598,2017-04-11,000598,LS_INV_0030,2017-03-01,2017-03-01,True
27515,000598,2017-04-11,000598,LS_INV_0030,2017-04-05,2017-04-05,True
28579,000598,2017-04-11,000598,LS_INV_0030,2017-04-05,2017-04-05,True
29552,user8,2017-04-17,user8,LS_INV_0030,,9999-12-31,True
30170,user1,2017-04-17,user1,LS_INV_0030,2017-03-05,2017-03-05,True
30795,000316,2017-04-18,000316,LS_INV_0030,2017-04-30,2017-04-30,True
30796,000316,2017-04-18,000316,LS_INV_0030,2017-04-30,2017-04-30,True
30797,000316,2017-04-18,000316,LS_INV_0030,2017-04-05,2017-04-05,True
30801,000316,2017-04-18,000316,LS_INV_0030,2017-04-30,2017-04-30,True
30866,000768,2017-04-18,000768,LS_INV_0030,2017-04-05,2017-04-05,True
